track len: 1
codec: 0x1005
time: 40.7805, note: 0.9026315
time: 40.8405, note: 1.3317075
time: 40.9005, note: 0.661101
time: 40.96583, note: 1.0124962
time: 41.0205, note: 1.1591707
time: 41.080418, note: 1.4357793
time: 41.1405, note: 0.8873119
time: 41.2005, note: 1.3198326
time: 41.260498, note: 0.73996866
time: 41.320415, note: 1.2624079
time: 41.380417, note: 0.72393227
time: 41.5005, note: 1.0199051
time: 41.560417, note: 1.3077322
time: 41.6205, note: 1.0171618
time: 41.6805, note: 0.8910029
time: 41.740417, note: 1.4395789
time: 41.8005, note: 0.80297613
time: 41.860416, note: 1.3114767
time: 41.920498, note: 1.1248617
time: 41.979168, note: 0.7528752
time: 42.040417, note: 1.1169769
time: 42.100418, note: 1.4495773
time: 42.1605, note: 0.70377207
time: 42.220417, note: 1.4028151
time: 42.2805, note: 0.83143425
time: 42.340416, note: 1.2959695
time: 42.440414, note: 1.25074
time: 42.500416, note: 0.9253006
time: 42.560417, note: 0.9571228
time: 42.620415, note: 1.2576501
time: 42.6805, note: 0.68407816
time: 42.740417, note: 1.4711752
time: 42.8005, note: 0.51857656
time: 42.860584, note: 1.364029
time: 42.920498, note: 1.1111889
time: 42.980415, note: 1.2270734
time: 43.040417, note: 1.4233966
time: 43.1005, note: 0.70926285
time: 43.1605, note: 0.7848829
time: 43.220417, note: 1.2506702
time: 43.280415, note: 1.4019184
time: 43.3405, note: 0.7019112
time: 43.40058, note: 1.252279
time: 43.460415, note: 1.0948054
time: 43.5205, note: 0.78420323
time: 43.580498, note: 0.8774646
time: 43.6405, note: 0.7392285
time: 43.700417, note: 1.4236495
time: 43.760418, note: 1.176098
time: 43.8805, note: 1.0741293
time: 43.9405, note: 0.5724608
time: 44.0005, note: 0.8104234
time: 44.0605, note: 0.7806692
time: 44.1205, note: 0.6744362
time: 44.1805, note: 0.6657613
time: 44.240417, note: 1.4610631
time: 44.400417, note: 0.85152996
time: 44.4605, note: 0.86367667
time: 44.520416, note: 1.4859681
time: 44.580498, note: 0.92949027
